Month,Risk,Facility Type,total_inspections,failed_inspections,Treemap Failure Rate
2012Q4,Risk 1 (High),Golden Diner,11,2,18.18
2012Q4,Risk 1 (High),Grocery & Restaurant,2,1,50.0
2012Q4,Risk 1 (High),Grocery Store,172,25,14.53
2012Q4,Risk 1 (High),Hospital,18,3,16.67
2012Q4,Risk 1 (High),ICE CREAM SHOP,1,0,0.0
2012Q4,Risk 1 (High),Liquor,2,0,0.0
2012Q4,Risk 1 (High),Long Term Care,15,0,0.0
2012Q4,Risk 1 (High),Long Term Care Facility,4,0,0.0
2012Q4,Risk 1 (High),Long-Term Care,1,0,0.0
2012Q4,Risk 1 (High),PRIVATE SCHOOL,1,0,0.0
2012Q4,Risk 1 (High),Private School,1,0,0.0
2012Q4,Risk 1 (High),RESTAURANT/BAR,2,1,50.0
2012Q4,Risk 1 (High),RESTAURANT/HOSPITAL,1,0,0.0
2012Q4,Risk 1 (High),RESTUARANT AND BAR,2,1,50.0
2012Q4,Risk 1 (High),Restaurant,2120,377,17.78
2012Q4,Risk 1 (High),SUPPORTIVE LIVING,1,0,0.0
2012Q4,Risk 1 (High),School,269,53,19.7
2012Q4,Risk 1 (High),School Cafeteria,1,0,0.0
2012Q4,Risk 1 (High),Shared Kitchen,1,0,0.0
2012Q4,Risk 1 (High),Shared Kitchen User (Long Term),6,0,0.0
2012Q4,Risk 1 (High),Shelter,3,0,0.0
2012Q4,Risk 1 (High),Special Event,1,0,0.0
2012Q4,Risk 1 (High),TENT RSTAURANT,1,0,0.0
2012Q4,Risk 1 (High),Wholesale,1,0,0.0
2012Q4,Risk 1 (High),banquet hall,2,0,0.0
2012Q4,Risk 1 (High),cafeteria,1,0,0.0
2012Q4,Risk 1 (High),grocery & restaurant,1,0,0.0
2012Q4,Risk 2 (Medium),Bakery,72,13,18.06
2012Q4,Risk 2 (Medium),CAFETERIA,1,0,0.0
2012Q4,Risk 2 (Medium),COFFEE/TEA,1,0,0.0
2012Q4,Risk 2 (Medium),CONVENIENCE STORE,2,0,0.0
2012Q4,Risk 2 (Medium),Catering,1,0,0.0
2012Q4,Risk 2 (Medium),Daycare (2 - 6 Years),1,0,0.0
2012Q4,Risk 2 (Medium),GAS STATION/MINI MART,1,0,0.0
2012Q4,Risk 2 (Medium),GAS STATION/RESTAURANT,1,1,100.0
2012Q4,Risk 2 (Medium),GROCERY STORE/DELI,1,0,0.0
2012Q4,Risk 2 (Medium),Grocery Store,271,68,25.09
2012Q4,Risk 2 (Medium),HOT DOG STATION,1,0,0.0
2012Q4,Risk 2 (Medium),LIVE POULTRY,3,1,33.33
2012Q4,Risk 2 (Medium),Liquor,1,0,0.0
2012Q4,Risk 2 (Medium),MOVIE THEATRE,2,2,100.0
2012Q4,Risk 2 (Medium),Mobile Food Dispenser,1,1,100.0
2012Q4,Risk 2 (Medium),REHAB CENTER,1,0,0.0
2012Q4,Risk 2 (Medium),Restaurant,564,68,12.06
2012Q4,Risk 2 (Medium),STORE,2,1,50.0
2012Q4,Risk 2 (Medium),School,27,9,33.33
2012Q4,Risk 2 (Medium),Shared Kitchen User (Long Term),2,0,0.0
2012Q4,Risk 2 (Medium),Shared Kitchen User (Short Term),2,0,0.0
2012Q4,Risk 2 (Medium),Special Event,1,0,0.0
2012Q4,Risk 2 (Medium),TAVERN,1,0,0.0
2012Q4,Risk 2 (Medium),Wholesale,10,2,20.0
2012Q4,Risk 2 (Medium),fish market,1,0,0.0
2012Q4,Risk 2 (Medium),meat packing,1,0,0.0
2012Q4,Risk 3 (Low),BAR,2,1,50.0
2012Q4,Risk 3 (Low),Bakery,1,0,0.0
2012Q4,Risk 3 (Low),CAFE,1,1,100.0
2012Q4,Risk 3 (Low),CONVENIENCE,1,0,0.0
2012Q4,Risk 3 (Low),CONVNIENCE STORE,1,0,0.0
2012Q4,Risk 3 (Low),DRUG/FOOD STORE,2,0,0.0
2012Q4,Risk 3 (Low),Daycare (2 - 6 Years),1,0,0.0
2012Q4,Risk 3 (Low),Food Vending Machines,1,0,0.0
2012Q4,Risk 3 (Low),GAS STATION,2,0,0.0
2012Q4,Risk 3 (Low),GAS STATION/MINI MART,1,0,0.0
2012Q4,Risk 3 (Low),GROCERY STORE / GAS STATION,1,0,0.0
2012Q4,Risk 3 (Low),Grocery Store,320,74,23.12
2012Q4,Risk 3 (Low),HERBAL MEDICINE,1,0,0.0
2012Q4,Risk 3 (Low),HOT DOG CART,1,0,0.0
2012Q4,Risk 3 (Low),Illegal Vendor,2,2,100.0
2012Q4,Risk 3 (Low),Liquor,15,4,26.67
2012Q4,Risk 3 (Low),Mobile Food Dispenser,10,3,30.0
2012Q4,Risk 3 (Low),Restaurant,27,4,14.81
2012Q4,Risk 3 (Low),School,10,4,40.0
2012Q4,Risk 3 (Low),Shared Kitchen User (Long Term),3,0,0.0
2012Q4,Risk 3 (Low),Special Event,1,0,0.0
2012Q4,Risk 3 (Low),TAVERN,4,1,25.0
2012Q4,Risk 3 (Low),TAVERN-LIQUOR,1,0,0.0
2012Q4,Risk 3 (Low),TAVERN/RESTAURANT,1,0,0.0
2012Q4,Risk 3 (Low),Wholesale,1,0,0.0
2012Q4,Risk 3 (Low),video store,1,0,0.0
2013Q1,Risk 1 (High),AFTER SCHOOL PROGRAM,1,0,0.0
2013Q1,Risk 1 (High),ASSISTED LIVING,1,0,0.0
2013Q1,Risk 1 (High),BAKERY/DELI,2,0,0.0
2013Q1,Risk 1 (High),BANQUET FACILITY,3,1,33.33
2013Q1,Risk 1 (High),BANQUET HALL,1,0,0.0
2013Q1,Risk 1 (High),Bakery,25,3,12.0
2013Q1,Risk 1 (High),Banquet Dining,2,1,50.0
2013Q1,Risk 1 (High),CAFETERIA,2,0,0.0
2013Q1,Risk 1 (High),CHARTER,1,0,0.0
2013Q1,Risk 1 (High),CHARTER SCHOOL,1,0,0.0
2013Q1,Risk 1 (High),CHARTER SCHOOL/CAFETERIA,1,0,0.0
2013Q1,Risk 1 (High),CULINARY ARTS SCHOOL,1,0,0.0
2013Q1,Risk 1 (High),CULINARY SCHOOL,1,0,0.0
2013Q1,Risk 1 (High),Cafeteria,1,0,0.0
2013Q1,Risk 1 (High),Catering,18,3,16.67
2013Q1,Risk 1 (High),Children's Services Facility,67,16,23.88
2013Q1,Risk 1 (High),DAYCARE,4,1,25.0
2013Q1,Risk 1 (High),Daycare (2 - 6 Years),71,15,21.13
2013Q1,Risk 1 (High),Daycare (Under 2 Years),7,0,0.0
2013Q1,Risk 1 (High),Daycare Above and Under 2 Years,50,11,22.0
2013Q1,Risk 1 (High),Daycare Combo 1586,18,2,11.11
2013Q1,Risk 1 (High),Deli,1,0,0.0
2013Q1,Risk 1 (High),GAS STATION /SUBWAY MINI MART.,1,0,0.0
2013Q1,Risk 1 (High),GROCERY STORE/TAQUERIA,1,0,0.0
2013Q1,Risk 1 (High),GROCERY/BAKERY,1,0,0.0
2013Q1,Risk 1 (High),GROCERY/TAQUERIA,1,0,0.0
2013Q1,Risk 1 (High),Golden Diner,3,1,33.33
2013Q1,Risk 1 (High),Grocery Store,194,39,20.1
2013Q1,Risk 1 (High),Hospital,10,1,10.0
2013Q1,Risk 1 (High),Liquor,1,0,0.0
2013Q1,Risk 1 (High),Long Term Care,22,2,9.09
2013Q1,Risk 1 (High),Long Term Care Facility,1,0,0.0
2013Q1,Risk 1 (High),NURSING HOME,2,0,0.0
2013Q1,Risk 1 (High),PASTRY school,1,0,0.0
2013Q1,Risk 1 (High),PRIVATE SCHOOL,1,1,100.0
2013Q1,Risk 1 (High),PUBLIC SHCOOL,1,0,0.0
2013Q1,Risk 1 (High),RESTUARANT AND BAR,1,0,0.0
2013Q1,Risk 1 (High),ROOFTOPS,1,0,0.0
2013Q1,Risk 1 (High),Restaurant,2578,395,15.32
2013Q1,Risk 1 (High),School,460,83,18.04
2013Q1,Risk 1 (High),Shared Kitchen User (Long Term),1,0,0.0
2013Q1,Risk 1 (High),Shelter,3,0,0.0
2013Q1,Risk 1 (High),cooking school,1,0,0.0
2013Q1,Risk 1 (High),employee kitchen,1,0,0.0
2013Q1,Risk 2 (Medium),Bakery,21,5,23.81
2013Q1,Risk 2 (Medium),CHURCH,1,0,0.0
2013Q1,Risk 2 (Medium),Daycare Above and Under 2 Years,1,0,0.0
2013Q1,Risk 2 (Medium),GAS STATION/RESTAURANT,1,0,0.0
2013Q1,Risk 2 (Medium),Grocery Store,176,47,26.7
2013Q1,Risk 2 (Medium),MOVIE THEATRE,1,0,0.0
2013Q1,Risk 2 (Medium),Mobile Food Preparer,8,5,62.5
2013Q1,Risk 2 (Medium),ROOFTOP,1,1,100.0
2013Q1,Risk 2 (Medium),Restaurant,462,73,15.8
2013Q1,Risk 2 (Medium),School,17,4,23.53
2013Q1,Risk 2 (Medium),Shared Kitchen User (Long Term),4,0,0.0
2013Q1,Risk 2 (Medium),Wholesale,2,0,0.0
2013Q1,Risk 2 (Medium),coffee shop,1,0,0.0
2013Q1,Risk 3 (Low),CAFE,1,0,0.0
2013Q1,Risk 3 (Low),CAR WASH,1,0,0.0
2013Q1,Risk 3 (Low),CONVENIENCE,1,0,0.0
2013Q1,Risk 3 (Low),GAS STATION,6,1,16.67
2013Q1,Risk 3 (Low),GAS STATION/MINI MART,1,0,0.0
2013Q1,Risk 3 (Low),GROCERY/SERVICE GAS STATION,1,0,0.0
2013Q1,Risk 3 (Low),Gas station,1,0,0.0
2013Q1,Risk 3 (Low),Grocery Store,216,51,23.61
2013Q1,Risk 3 (Low),Liquor,12,6,50.0
2013Q1,Risk 3 (Low),MOBILE DESSERTS VENDOR,2,0,0.0
2013Q1,Risk 3 (Low),Mobile Food Dispenser,9,4,44.44
2013Q1,Risk 3 (Low),Mobile Frozen Desserts Vendor,2,0,0.0
2013Q1,Risk 3 (Low),PACKAGED FOOD DISTRIBUTION,2,0,0.0
2013Q1,Risk 3 (Low),RESTUARANT AND BAR,2,1,50.0
2013Q1,Risk 3 (Low),Restaurant,19,6,31.58
2013Q1,Risk 3 (Low),School,10,2,20.0
2013Q1,Risk 3 (Low),Shared Kitchen User (Long Term),1,0,0.0
2013Q1,Risk 3 (Low),TAVERN,10,3,30.0
2013Q1,Risk 3 (Low),TEMPORARY KIOSK,2,1,50.0
2013Q1,Risk 3 (Low),UNUSED STORAGE,1,0,0.0
2013Q1,Risk 3 (Low),Wholesale,3,1,33.33
2013Q2,Risk 1 (High),1023 CHILDERN'S SERVICE S FACILITY,2,0,0.0
2013Q2,Risk 1 (High),1023 CHILDERN'S SERVICES FACILITY,5,0,0.0
2013Q2,Risk 1 (High),1023-CHILDREN'S SERVICES FACILITY,1,0,0.0
2013Q2,Risk 1 (High),Assisted Living,1,0,0.0
2013Q2,Risk 1 (High),Assisted Living Senior Care,2,0,0.0
2013Q2,Risk 1 (High),BANQUET HALL,1,0,0.0
2013Q2,Risk 1 (High),Bakery,38,8,21.05
2013Q2,Risk 1 (High),CAT/LIQUOR,1,0,0.0
2013Q2,Risk 1 (High),CHURCH,1,0,0.0
2013Q2,Risk 1 (High),CHURCH KITCHEN,1,0,0.0
2013Q2,Risk 1 (High),CHURCH/SPECIAL EVENTS,1,0,0.0
2013Q2,Risk 1 (High),CULINARY SCHOOL,1,0,0.0
2013Q2,Risk 1 (High),Catering,32,5,15.62
2013Q2,Risk 1 (High),Children's Services Facility,38,7,18.42
2013Q2,Risk 1 (High),DAY CARE,1,1,100.0
2013Q2,Risk 1 (High),DAY CARE 2-14,2,1,50.0
2013Q2,Risk 1 (High),Daycare (2 - 6 Years),30,5,16.67
2013Q2,Risk 1 (High),Daycare (Under 2 Years),6,1,16.67
2013Q2,Risk 1 (High),Daycare Above and Under 2 Years,28,5,17.86
2013Q2,Risk 1 (High),Daycare Combo 1586,13,1,7.69
2013Q2,Risk 1 (High),Golden Diner,19,5,26.32
2013Q2,Risk 1 (High),Grocery & Restaurant,1,0,0.0
2013Q2,Risk 1 (High),Grocery Store,224,38,16.96
2013Q2,Risk 1 (High),Hospital,10,2,20.0
2013Q2,Risk 1 (High),Long Term Care,8,1,12.5
2013Q2,Risk 1 (High),Mobile Food Preparer,6,4,66.67
2013Q2,Risk 1 (High),PALETERIA,1,0,0.0
2013Q2,Risk 1 (High),PRIVATE SCHOOL,1,0,0.0
2013Q2,Risk 1 (High),Private School,1,0,0.0
2013Q2,Risk 1 (High),REST/ROOFTOP,1,0,0.0
2013Q2,Risk 1 (High),RESTAURANT/BAR,2,1,50.0
2013Q2,Risk 1 (High),RESTAURANT/GROCERY STORE,2,1,50.0
2013Q2,Risk 1 (High),RESTAURANT/HOSPITAL,1,0,0.0
2013Q2,Risk 1 (High),ROOF TOPS,1,0,0.0
2013Q2,Risk 1 (High),ROOFTOP,1,0,0.0
2013Q2,Risk 1 (High),Restaurant,2936,466,15.87
2013Q2,Risk 1 (High),SENIOR DAY CARE,1,0,0.0
2013Q2,Risk 1 (High),SMOKEHOUSE,1,0,0.0
2013Q2,Risk 1 (High),STADIUM,2,0,0.0
2013Q2,Risk 1 (High),School,340,42,12.35
2013Q2,Risk 1 (High),Shared Kitchen,2,0,0.0
2013Q2,Risk 1 (High),Shared Kitchen User (Long Term),1,0,0.0
2013Q2,Risk 1 (High),Shared Kitchen User (Short Term),1,0,0.0
2013Q2,Risk 1 (High),Shelter,2,0,0.0
2013Q2,Risk 1 (High),Special Event,4,0,0.0
2013Q2,Risk 1 (High),Wholesale,2,0,0.0
2013Q2,Risk 1 (High),banquets,1,0,0.0
2013Q2,Risk 2 (Medium),BEFORE AND AFTER SCHOOL PROGRAM,1,0,0.0
2013Q2,Risk 2 (Medium),Bakery,39,10,25.64
2013Q2,Risk 2 (Medium),CAFETERIA,1,0,0.0
2013Q2,Risk 2 (Medium),CANDY/GELATO,1,0,0.0
2013Q2,Risk 2 (Medium),CHURCH,1,0,0.0
2013Q2,Risk 2 (Medium),Church,1,0,0.0
2013Q2,Risk 2 (Medium),GELATO SHOP,1,0,0.0
2013Q2,Risk 2 (Medium),Grocery Store,263,65,24.71
2013Q2,Risk 2 (Medium),LIVE POULTRY,2,1,50.0
2013Q2,Risk 2 (Medium),Live Poultry,1,1,100.0
2013Q2,Risk 2 (Medium),Mobile Food Dispenser,1,0,0.0
2013Q2,Risk 2 (Medium),Mobile Food Preparer,12,4,33.33
2013Q2,Risk 2 (Medium),Navy Pier Kiosk,7,3,42.86
2013Q2,Risk 2 (Medium),ROOF TOP,1,0,0.0
2013Q2,Risk 2 (Medium),ROOF TOPS,2,0,0.0
2013Q2,Risk 2 (Medium),ROOFTOP,3,0,0.0
2013Q2,Risk 2 (Medium),ROOFTOPS,1,0,0.0
2013Q2,Risk 2 (Medium),Restaurant,625,106,16.96
2013Q2,Risk 2 (Medium),STADIUM,1,0,0.0
2013Q2,Risk 2 (Medium),School,26,3,11.54
2013Q2,Risk 2 (Medium),Special Event,5,0,0.0
2013Q2,Risk 2 (Medium),WRIGLEY ROOFTOP,1,0,0.0
2013Q2,Risk 2 (Medium),Wrigley Roof Top,2,0,0.0
2013Q2,Risk 3 (Low),BANQUET HALL,1,0,0.0
2013Q2,Risk 3 (Low),BAR,2,0,0.0
2013Q2,Risk 3 (Low),BOOK STORE,1,0,0.0
2013Q2,Risk 3 (Low),Catering,1,1,100.0
2013Q2,Risk 3 (Low),FROZEN DESSERT PUSHCARTS,1,0,0.0
2013Q2,Risk 3 (Low),GAS STATION,4,1,25.0
2013Q2,Risk 3 (Low),GAS STATION /GROCERY,3,1,33.33
2013Q2,Risk 3 (Low),GROCERY STORE/GAS STATION,1,0,0.0
2013Q2,Risk 3 (Low),Golden Diner,1,0,0.0
2013Q2,Risk 3 (Low),Grocery Store,262,63,24.05
2013Q2,Risk 3 (Low),Liquor,19,8,42.11
2013Q2,Risk 3 (Low),MOBILE DESSERT CART,1,0,0.0
2013Q2,Risk 3 (Low),MOBILE DESSERT VENDOR,1,0,0.0
2013Q2,Risk 3 (Low),MOBILE DESSERTS VENDOR,2,0,0.0
2013Q2,Risk 3 (Low),MOBILE FROZEN DESSERTS VENDOR,1,1,100.0
2013Q2,Risk 3 (Low),Mobile Food Dispenser,21,7,33.33
2013Q2,Risk 3 (Low),Mobile Frozen Desserts Vendor,3,0,0.0
2013Q2,Risk 3 (Low),NEWSSTAND,1,1,100.0
2013Q2,Risk 3 (Low),Restaurant,47,10,21.28
2013Q2,Risk 3 (Low),School,8,1,12.5
2013Q2,Risk 3 (Low),TAVERN,12,5,41.67
2013Q2,Risk 3 (Low),THEATER/BAR,4,2,50.0
2013Q2,Risk 3 (Low),Tavern,2,0,0.0
2013Q2,Risk 3 (Low),Wholesale,2,1,50.0
2013Q3,Risk 1 (High),1023 CHILDERN'S SERVICES FACILITY,1,0,0.0
2013Q3,Risk 1 (High),Adult Family Care Center,2,1,50.0
2013Q3,Risk 1 (High),BANQUET FACILITY,2,1,50.0
2013Q3,Risk 1 (High),BANQUET HALL,6,2,33.33
2013Q3,Risk 1 (High),Bakery,26,5,19.23
2013Q3,Risk 1 (High),Banquet Hall,1,0,0.0
2013Q3,Risk 1 (High),Banquet rooms,2,0,0.0
2013Q3,Risk 1 (High),CAFETERIA,3,0,0.0
2013Q3,Risk 1 (High),CATERED EVENTS,1,0,0.0
2013Q3,Risk 1 (High),CHARITY AID KITCHEN,1,0,0.0
2013Q3,Risk 1 (High),CHILDERN ACTIVITY FACILITY,1,0,0.0
2013Q3,Risk 1 (High),CHILDERN'S SERVICES  FACILITY,2,1,50.0
2013Q3,Risk 1 (High),CHURCH,1,0,0.0
2013Q3,Risk 1 (High),CITY OF CHICAGO COLLEGE,1,0,0.0
2013Q3,Risk 1 (High),COLLEGE,2,1,50.0
2013Q3,Risk 1 (High),Catering,51,4,7.84
2013Q3,Risk 1 (High),Catering and Wholesale,1,0,0.0
2013Q3,Risk 1 (High),Children's Services Facility,55,8,14.55
2013Q3,Risk 1 (High),Commissary,1,0,0.0
2013Q3,Risk 1 (High),DAY CARE,1,0,0.0
2013Q3,Risk 1 (High),DAY CARE 1023,1,0,0.0
2013Q3,Risk 1 (High),DAYCARE,2,0,0.0
2013Q3,Risk 1 (High),Daycare (2 - 6 Years),40,8,20.0
2013Q3,Risk 1 (High),Daycare (Under 2 Years),3,1,33.33
2013Q3,Risk 1 (High),Daycare Above and Under 2 Years,48,10,20.83
2013Q3,Risk 1 (High),Daycare Combo 1586,11,1,9.09
2013Q3,Risk 1 (High),GROCERY STORE/ RESTAURANT,1,0,0.0
2013Q3,Risk 1 (High),GROCERY STORE/BAKERY,2,1,50.0
2013Q3,Risk 1 (High),GROCERY STORE/COOKING SCHOOL,1,0,0.0
2013Q3,Risk 1 (High),GROCERY/BAKERY,1,0,0.0
2013Q3,Risk 1 (High),GROCERY/RESTAURANT,3,0,0.0
2013Q3,Risk 1 (High),Golden Diner,15,2,13.33
2013Q3,Risk 1 (High),Grocery Store,216,35,16.2
2013Q3,Risk 1 (High),Grocery(Sushi prep),1,0,0.0
2013Q3,Risk 1 (High),Hospital,18,2,11.11
2013Q3,Risk 1 (High),ICE CREAM SHOP,1,0,0.0
2013Q3,Risk 1 (High),LIVE POULTRY,1,0,0.0
2013Q3,Risk 1 (High),LOUNGE/BANQUET HALL,2,1,50.0
2013Q3,Risk 1 (High),Long Term Care,10,4,40.0
2013Q3,Risk 1 (High),Mobile Food Preparer,4,3,75.0
2013Q3,Risk 1 (High),NON -PROFIT,1,0,0.0
2013Q3,Risk 1 (High),NURSING HOME,1,0,0.0
2013Q3,Risk 1 (High),PHARMACY,1,0,0.0
2013Q3,Risk 1 (High),PRIVATE SCHOOL,1,0,0.0
2013Q3,Risk 1 (High),REST/GROCERY,1,0,0.0
2013Q3,Risk 1 (High),REST/ROOFTOP,1,0,0.0
2013Q3,Risk 1 (High),RESTAURANT/BAKERY,2,1,50.0
2013Q3,Risk 1 (High),RESTAURANT/BAR,1,0,0.0
2013Q3,Risk 1 (High),RESTAURANT/GROCERY,1,1,100.0
2013Q3,Risk 1 (High),RETAIL STORE OFFERS COOKING CLASSES,2,1,50.0
2013Q3,Risk 1 (High),RIVERWALK,2,0,0.0
2013Q3,Risk 1 (High),Restaurant,3155,526,16.67
2013Q3,Risk 1 (High),School,125,21,16.8
2013Q3,Risk 1 (High),Shared Kitchen User (Short Term),1,0,0.0
2013Q3,Risk 1 (High),Shelter,2,0,0.0
2013Q3,Risk 1 (High),Special Event,4,0,0.0
2013Q3,Risk 1 (High),UNIVERSITY CAFETERIA,2,1,50.0
2013Q3,Risk 1 (High),Wholesale,3,1,33.33
2013Q3,Risk 1 (High),banquet hall,1,0,0.0
2013Q3,Risk 1 (High),cafeteria,1,0,0.0
2013Q3,Risk 1 (High),school cafeteria,1,0,0.0
2013Q3,Risk 2 (Medium),BAKERY/GROCERY,2,1,50.0
2013Q3,Risk 2 (Medium),BANQUET HALL,2,0,0.0
2013Q3,Risk 2 (Medium),Bakery,34,2,5.88
2013Q3,Risk 2 (Medium),CUSTOM POULTRY SLAUGHTER,1,0,0.0
2013Q3,Risk 2 (Medium),Catering,1,0,0.0
2013Q3,Risk 2 (Medium),Grocery Store,229,60,26.2
2013Q3,Risk 2 (Medium),HOT DOG STATION,1,0,0.0
2013Q3,Risk 2 (Medium),LIVE POULTRY,1,0,0.0
2013Q3,Risk 2 (Medium),Liquor,1,0,0.0
2013Q3,Risk 2 (Medium),Live Poultry,1,0,0.0
2013Q3,Risk 2 (Medium),Mobile Food Preparer,17,8,47.06
2013Q3,Risk 2 (Medium),Restaurant,695,124,17.84
2013Q3,Risk 2 (Medium),Restaurant(protein shake bar),1,0,0.0
2013Q3,Risk 2 (Medium),SLAUGHTER HOUSE/ GROCERY,2,1,50.0
2013Q3,Risk 2 (Medium),School,5,0,0.0
2013Q3,Risk 2 (Medium),Special Event,4,0,0.0
2013Q3,Risk 2 (Medium),Wholesale,1,1,100.0
2013Q3,Risk 2 (Medium),convenience store,1,0,0.0
2013Q3,Risk 3 (Low),Banquet rooms,2,1,50.0
2013Q3,Risk 3 (Low),CONVENIENCE,2,1,50.0
2013Q3,Risk 3 (Low),CONVENIENCE STORE,2,1,50.0
2013Q3,Risk 3 (Low),Daycare Above and Under 2 Years,1,0,0.0
2013Q3,Risk 3 (Low),GAS STATION,4,2,50.0
2013Q3,Risk 3 (Low),GROCERY/SERVICE GAS STATION,1,0,0.0
2013Q3,Risk 3 (Low),Grocery Store,328,79,24.09
2013Q3,Risk 3 (Low),Liquor,13,1,7.69
2013Q3,Risk 3 (Low),MOBILE DESSERTS VENDOR,2,0,0.0
2013Q3,Risk 3 (Low),MOBILE FOOD TRUCK,1,1,100.0
2013Q3,Risk 3 (Low),Mobile Food Dispenser,24,6,25.0
2013Q3,Risk 3 (Low),Mobile Frozen Desserts Vendor,1,0,0.0
2013Q3,Risk 3 (Low),REPACKAGING PLANT,1,0,0.0
2013Q3,Risk 3 (Low),Restaurant,26,8,30.77
2013Q3,Risk 3 (Low),STORE,3,1,33.33
2013Q3,Risk 3 (Low),School,6,1,16.67
2013Q3,Risk 3 (Low),TAVERN,7,3,42.86
2013Q3,Risk 3 (Low),WINE STORE,3,1,33.33
2013Q3,Risk 3 (Low),Wholesale,2,0,0.0
2013Q3,Risk 3 (Low),convenience,1,0,0.0
2013Q3,Risk 3 (Low),grocery/dollar store,1,0,0.0
2013Q3,Risk 3 (Low),theater,1,0,0.0
2013Q4,Risk 1 (High),1023 CHILDREN'S SERVICES FACILITY,1,0,0.0
2013Q4,Risk 1 (High),A-Not-For-Profit Chef Training Program,1,0,0.0
2013Q4,Risk 1 (High),BANQUET,5,0,0.0
2013Q4,Risk 1 (High),BANQUET HALL,13,3,23.08
2013Q4,Risk 1 (High),Bakery,13,0,0.0
2013Q4,Risk 1 (High),CATERING/CAFE,1,0,0.0
2013Q4,Risk 1 (High),CHILDRENS SERVICES FACILITY,1,0,0.0
2013Q4,Risk 1 (High),CULINARY ARTS SCHOOL,3,1,33.33
2013Q4,Risk 1 (High),CULINARY SCHOOL,1,0,0.0
2013Q4,Risk 1 (High),Catering,28,3,10.71
2013Q4,Risk 1 (High),Children's Services Facility,37,4,10.81
2013Q4,Risk 1 (High),DAYCARE 6 WKS-5YRS,1,0,0.0
2013Q4,Risk 1 (High),DAYCARE COMBO,1,0,0.0
2013Q4,Risk 1 (High),Daycare (2 - 6 Years),42,5,11.9
2013Q4,Risk 1 (High),Daycare (2 Years),4,0,0.0
2013Q4,Risk 1 (High),Daycare (Under 2 Years),2,0,0.0
2013Q4,Risk 1 (High),Daycare Above and Under 2 Years,46,7,15.22
2013Q4,Risk 1 (High),Daycare Combo 1586,19,2,10.53
2013Q4,Risk 1 (High),GAS STATION,1,0,0.0
2013Q4,Risk 1 (High),GROCERY/RESTAURANT,3,1,33.33
2013Q4,Risk 1 (High),Golden Diner,37,5,13.51
2013Q4,Risk 1 (High),Grocery Store,146,21,14.38
2013Q4,Risk 1 (High),Grocery(Sushi prep),1,0,0.0
2013Q4,Risk 1 (High),Hospital,3,1,33.33
2013Q4,Risk 1 (High),Liquor,2,0,0.0
2013Q4,Risk 1 (High),Long Term Care,9,3,33.33
2013Q4,Risk 1 (High),Long Term Care Facility,1,0,0.0
2013Q4,Risk 1 (High),MAIN KITCHEN,1,0,0.0
2013Q4,Risk 1 (High),Mobile Food Preparer,1,0,0.0
2013Q4,Risk 1 (High),PASTRY school,1,0,0.0
2013Q4,Risk 1 (High),REGULATED BUSINESS,2,0,0.0
2013Q4,Risk 1 (High),RESTAURANT.BANQUET HALLS,2,1,50.0
2013Q4,Risk 1 (High),RESTAURANT/GROCERY,1,0,0.0
2013Q4,Risk 1 (High),Restaurant,2244,330,14.71
2013Q4,Risk 1 (High),SUPPORTIVE LIVING,2,0,0.0
2013Q4,Risk 1 (High),School,194,26,13.4
2013Q4,Risk 1 (High),Shared Kitchen User (Long Term),4,0,0.0
2013Q4,Risk 1 (High),Shared Kitchen User (Short Term),1,0,0.0
2013Q4,Risk 1 (High),Shelter,2,0,0.0
2013Q4,Risk 1 (High),UNIVERSITY CAFETERIA,3,1,33.33
2013Q4,Risk 1 (High),Wholesale,1,0,0.0
2013Q4,Risk 1 (High),employee kitchen,1,0,0.0
2013Q4,Risk 2 (Medium),Bakery,96,14,14.58
2013Q4,Risk 2 (Medium),COFFEE  SHOP,1,0,0.0
2013Q4,Risk 2 (Medium),COFFEE SHOP,1,0,0.0
2013Q4,Risk 2 (Medium),CONVENIENCE STORE,1,0,0.0
2013Q4,Risk 2 (Medium),CUSTOM POULTRY SLAUGHTER,4,2,50.0
2013Q4,Risk 2 (Medium),Catering,1,0,0.0
2013Q4,Risk 2 (Medium),Coffee shop,1,0,0.0
2013Q4,Risk 2 (Medium),GAS STATION,3,1,33.33
2013Q4,Risk 2 (Medium),GAS STATION/RESTAURANT,1,0,0.0
2013Q4,Risk 2 (Medium),GROCERY AND BUTCHER,2,1,50.0
2013Q4,Risk 2 (Medium),Grocery Store,422,66,15.64
2013Q4,Risk 2 (Medium),ICE CREAM SHOP,1,0,0.0
2013Q4,Risk 2 (Medium),JUICE BAR,1,0,0.0
2013Q4,Risk 2 (Medium),LIVE POULTRY,1,0,0.0
2013Q4,Risk 2 (Medium),Liquor,2,0,0.0
2013Q4,Risk 2 (Medium),Live Poultry,1,0,0.0
2013Q4,Risk 2 (Medium),MOVIE THEATER,1,0,0.0
2013Q4,Risk 2 (Medium),Mobile Food Dispenser,4,2,50.0
2013Q4,Risk 2 (Medium),Mobile Food Preparer,3,1,33.33
2013Q4,Risk 2 (Medium),PANTRY,5,0,0.0
2013Q4,Risk 2 (Medium),POPCORN SHOP,1,0,0.0
2013Q4,Risk 2 (Medium),PROTEIN SHAKE BAR,1,1,100.0
2013Q4,Risk 2 (Medium),REHAB CENTER,1,0,0.0
